Indicator Category,Year,Sex,Race/Ethnicity,Value,Place
Behavioral Health/Substance Abuse,2011,Both,All,3.90,"Boston, MA"
Behavioral Health/Substance Abuse,2011,Both,White,7.10,"Boston, MA"
Behavioral Health/Substance Abuse,2011,Female,All,3.10,"Boston, MA"
Behavioral Health/Substance Abuse,2011,Male,All,4.80,"Boston, MA"
Behavioral Health/Substance Abuse,2012,Both,All,3.60,"Boston, MA"
Behavioral Health/Substance Abuse,2012,Both,White,6.00,"Boston, MA"
Behavioral Health/Substance Abuse,2012,Male,All,6.20,"Boston, MA"
Behavioral Health/Substance Abuse,2013,Both,All,4.40,"Boston, MA"
Behavioral Health/Substance Abuse,2013,Both,Black,3.80,"Boston, MA"
Behavioral Health/Substance Abuse,2013,Both,White,7.20,"Boston, MA"
Behavioral Health/Substance Abuse,2013,Female,All,3.10,"Boston, MA"
Behavioral Health/Substance Abuse,2013,Male,All,5.80,"Boston, MA"
Behavioral Health/Substance Abuse,2014,Both,All,9.90,"Boston, MA"
Behavioral Health/Substance Abuse,2014,Both,Black,5.40,"Boston, MA"
Behavioral Health/Substance Abuse,2014,Both,Hispanic,8.90,"Boston, MA"
Behavioral Health/Substance Abuse,2014,Both,White,15.10,"Boston, MA"
Behavioral Health/Substance Abuse,2014,Female,All,6.20,"Boston, MA"
Behavioral Health/Substance Abuse,2014,Male,All,13.70,"Boston, MA"
Behavioral Health/Substance Abuse,2015,Both,All,15.40,"Boston, MA"
Behavioral Health/Substance Abuse,2015,Both,Black,11.70,"Boston, MA"
Behavioral Health/Substance Abuse,2015,Both,Hispanic,13.00,"Boston, MA"
Behavioral Health/Substance Abuse,2015,Both,White,23.70,"Boston, MA"
Behavioral Health/Substance Abuse,2015,Female,All,8.90,"Boston, MA"
Behavioral Health/Substance Abuse,2015,Male,All,22.40,"Boston, MA"
Behavioral Health/Substance Abuse,2012,Both,All,5.50,"Denver, CO"
Behavioral Health/Substance Abuse,2012,Female,All,4.00,"Denver, CO"
Behavioral Health/Substance Abuse,2012,Male,All,7.00,"Denver, CO"
Behavioral Health/Substance Abuse,2013,Both,All,6.30,"Denver, CO"
Behavioral Health/Substance Abuse,2013,Female,All,4.30,"Denver, CO"
Behavioral Health/Substance Abuse,2013,Male,All,8.20,"Denver, CO"
Behavioral Health/Substance Abuse,2014,Both,All,8.80,"Denver, CO"
Behavioral Health/Substance Abuse,2014,Female,All,10.00,"Denver, CO"
Behavioral Health/Substance Abuse,2014,Male,All,7.60,"Denver, CO"
Behavioral Health/Substance Abuse,2012,Both,All,2.20,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2012,Both,White,3.60,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2012,Male,All,3.10,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2013,Both,All,1.10,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2014,Both,All,2.10,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2014,Both,White,3.70,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2014,Female,All,2.10,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2014,Male,All,2.10,"Fort Worth (Tarrant County), TX"
Behavioral Health/Substance Abuse,2011,Both,All,4.20,"Houston, TX"
Behavioral Health/Substance Abuse,2011,Both,Black,3.40,"Houston, TX"
Behavioral Health/Substance Abuse,2011,Both,White,8.90,"Houston, TX"
Behavioral Health/Substance Abuse,2011,Female,All,3.80,"Houston, TX"
Behavioral Health/Substance Abuse,2011,Male,All,4.70,"Houston, TX"
Behavioral Health/Substance Abuse,2012,Both,All,3.30,"Houston, TX"
Behavioral Health/Substance Abuse,2012,Both,Black,3.00,"Houston, TX"
Behavioral Health/Substance Abuse,2012,Both,White,6.60,"Houston, TX"
Behavioral Health/Substance Abuse,2012,Female,All,2.80,"Houston, TX"
Behavioral Health/Substance Abuse,2012,Male,All,3.80,"Houston, TX"
Behavioral Health/Substance Abuse,2013,Both,All,3.60,"Houston, TX"
Behavioral Health/Substance Abuse,2013,Both,White,8.30,"Houston, TX"
Behavioral Health/Substance Abuse,2013,Female,All,3.20,"Houston, TX"
Behavioral Health/Substance Abuse,2013,Male,All,4.00,"Houston, TX"
Behavioral Health/Substance Abuse,2012,Both,All,5.40,"Kansas City, MO"
Behavioral Health/Substance Abuse,2012,Both,White,8.20,"Kansas City, MO"
Behavioral Health/Substance Abuse,2012,Female,All,5.80,"Kansas City, MO"
Behavioral Health/Substance Abuse,2013,Both,All,4.90,"Kansas City, MO"
Behavioral Health/Substance Abuse,2013,Both,Black,3.30,"Kansas City, MO"
Behavioral Health/Substance Abuse,2013,Both,White,5.70,"Kansas City, MO"
Behavioral Health/Substance Abuse,2013,Female,All,3.40,"Kansas City, MO"
Behavioral Health/Substance Abuse,2013,Male,All,6.30,"Kansas City, MO"
Behavioral Health/Substance Abuse,2014,Both,All,6.40,"Kansas City, MO"
Behavioral Health/Substance Abuse,2014,Both,Black,5.20,"Kansas City, MO"
Behavioral Health/Substance Abuse,2014,Both,White,7.40,"Kansas City, MO"
Behavioral Health/Substance Abuse,2014,Female,All,4.60,"Kansas City, MO"
Behavioral Health/Substance Abuse,2014,Male,All,8.10,"Kansas City, MO"
Behavioral Health/Substance Abuse,2015,Both,All,6.90,"Kansas City, MO"
Behavioral Health/Substance Abuse,2015,Both,Black,4.90,"Kansas City, MO"
Behavioral Health/Substance Abuse,2015,Both,White,8.50,"Kansas City, MO"
Behavioral Health/Substance Abuse,2015,Female,All,7.40,"Kansas City, MO"
Behavioral Health/Substance Abuse,2015,Male,All,8.30,"Kansas City, MO"
Behavioral Health/Substance Abuse,2012,Both,All,12.60,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Both,Asian/PI,0.00,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Both,Black,12.80,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Both,Hispanic,4.20,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Both,Other,0.00,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Both,White,18.40,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Female,All,12.70,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2012,Male,All,12.40,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Both,All,10.20,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Both,Asian/PI,0.00,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Both,Black,7.70,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Both,Hispanic,4.40,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Both,Other,0.00,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Both,White,14.60,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Female,All,9.60,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2013,Male,All,10.70,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2014,Both,All,8.40,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2014,Both,Asian/PI,0.00,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2014,Both,Black,10.40,"Las Vegas (Clark County), NV"
Behavioral Health/Substance Abuse,2014,Both,Hispanic,2.30,"Las Vegas (Clark County), NV"
