Indicator,State Name,Year,Month,Data Value,Percent Pending Investigation
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,January,170,0.009926872
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,February,168,0.009885004
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,March,174,0.009837033
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,April,164,0.009858368
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,May,166,0.0131419
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,June,174,0.013111315
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,July,183,0.016333464
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,August,177,0.016367148
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,September,181,0.019636078
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,October,184,0.016331864
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,November,188,0.019511561
Natural & semi-synthetic opioids (T40.2),Connecticut,2015,December,182,0.016339869
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,January,180,0.0164647
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,February,184,0.016539314
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,March,177,0.01657715
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,April,188,0.016557388
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,May,186,0.01324591
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,June,188,0.016562873
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,July,183,0.013291686
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,August,192,0.016580448
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,September,192,0.016617921
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,October,195,0.016580998
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,November,201,0.016504919
Natural & semi-synthetic opioids (T40.2),Connecticut,2016,December,214,0.026108809
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,January,209,0.025943702
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,February,205,0.025784826
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,March,213,0.035410765
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,April,208,0.038575286
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,May,223,0.041771094
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,June,216,0.051185259
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,July,218,0.054217828
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,August,211,0.063734863
Natural & semi-synthetic opioids (T40.2),Connecticut,2017,September,208,0.06339747
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,January,532,0.009926872
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,February,530,0.009885004
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,March,536,0.009837033
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,April,550,0.009858368
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,May,553,0.0131419
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,June,567,0.013111315
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,July,616,0.016333464
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,August,618,0.016367148
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,September,633,0.019636078
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,October,660,0.016331864
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,November,683,0.019511561
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2015,December,686,0.016339869
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,January,711,0.0164647
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,February,731,0.016539314
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,March,741,0.01657715
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,April,766,0.016557388
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,May,795,0.01324591
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,June,810,0.016562873
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,July,800,0.013291686
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,August,825,0.016580448
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,September,832,0.016617921
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,October,814,0.016580998
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,November,834,0.016504919
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2016,December,869,0.026108809
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,January,874,0.025943702
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,February,878,0.025784826
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,March,904,0.035410765
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,April,902,0.038575286
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,May,925,0.041771094
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,June,939,0.051185259
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,July,962,0.054217828
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,August,962,0.063734863
"Opioids (T40.0-T40.4,T40.6)",Connecticut,2017,September,959,0.06339747
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,January,96,0.009926872
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,February,97,0.009885004
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,March,103,0.009837033
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,April,121,0.009858368
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,May,123,0.0131419
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,June,123,0.013111315
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,July,146,0.016333464
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,August,152,0.016367148
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,September,161,0.019636078
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,October,192,0.016331864
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,November,217,0.019511561
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2015,December,214,0.016339869
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,January,240,0.0164647
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,February,258,0.016539314
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,March,273,0.01657715
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,April,295,0.016557388
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,May,331,0.01324591
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,June,369,0.016562873
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,July,387,0.013291686
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,August,421,0.016580448
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,September,443,0.016617921
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,October,438,0.016580998
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,November,461,0.016504919
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2016,December,508,0.026108809
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,January,527,0.025943702
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,February,545,0.025784826
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,March,575,0.035410765
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,April,580,0.038575286
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,May,600,0.041771094
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,June,608,0.051185259
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,July,637,0.054217828
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,August,642,0.063734863
"Synthetic opioids, excl. methadone (T40.4)",Connecticut,2017,September,647,0.06339747
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,January,23,0.107353731
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,February,23,0.106534091
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,March,22,0.105189341
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,April,20,0.139372822
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,May,18,0.140203295
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,June,20,0.140894681
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,July,21,0.14114326
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,August,20,0.140277047
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,September,19,0.14077072
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,October,18,0.15737017
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,November,16,0.139033716
Natural & semi-synthetic opioids (T40.2),District of Columbia,2015,December,21,0.105152471
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,January,22,0.106837607
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,February,22,0.106951872
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,March,25,0.106761566
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,April,28,0.070646415
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,May,33,0.069942298
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,June,32,0.069795847
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,July,34,0.06932409
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,August,38,0.069096562
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,September,40,0.051116033
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,October,40,0.01701838
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,November,43,0.01685488
Natural & semi-synthetic opioids (T40.2),District of Columbia,2016,December,42,0
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,January,44,0
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,February,44,0.016189089
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,March,45,0.048185031
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,April,46,0.112197468
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,May,44,0.127307448
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,June,42,0.142405063
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,July,39,0.174741859
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,August,38,0.207535121
Natural & semi-synthetic opioids (T40.2),District of Columbia,2017,September,39,0.208099888
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,January,81,0.107353731
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,February,80,0.106534091
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,March,80,0.105189341
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,April,80,0.139372822
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,May,83,0.140203295
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,June,83,0.140894681
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,July,80,0.14114326
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,August,82,0.140277047
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,September,92,0.14077072
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,October,95,0.15737017
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,November,102,0.139033716
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2015,December,112,0.105152471
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,January,115,0.106837607
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,February,113,0.106951872
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,March,124,0.106761566
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,April,135,0.070646415
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,May,155,0.069942298
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,June,163,0.069795847
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,July,170,0.06932409
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,August,181,0.069096562
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,September,187,0.051116033
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,October,195,0.01701838
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,November,221,0.01685488
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2016,December,230,0
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,January,252,0
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,February,270,0.016189089
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,March,283,0.048185031
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,April,295,0.112197468
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,May,295,0.127307448
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,June,293,0.142405063
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,July,291,0.174741859
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,August,288,0.207535121
"Opioids (T40.0-T40.4,T40.6)",District of Columbia,2017,September,281,0.208099888
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,January,15,0.107353731
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,February,17,0.106534091
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,March,20,0.105189341
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,April,20,0.139372822
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,May,23,0.140203295
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,June,19,0.140894681
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,July,17,0.14114326
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,August,17,0.140277047
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,September,20,0.14077072
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,October,18,0.15737017
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,November,24,0.139033716
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2015,December,28,0.105152471
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,January,32,0.106837607
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,February,31,0.106951872
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,March,39,0.106761566
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,April,50,0.070646415
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,May,66,0.069942298
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,June,76,0.069795847
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,July,86,0.06932409
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,August,96,0.069096562
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,September,104,0.051116033
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,October,118,0.01701838
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,November,140,0.01685488
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2016,December,147,0
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,January,158,0
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,February,175,0.016189089
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,March,189,0.048185031
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,April,200,0.112197468
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,May,202,0.127307448
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,June,204,0.142405063
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,July,203,0.174741859
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,August,207,0.207535121
"Synthetic opioids, excl. methadone (T40.4)",District of Columbia,2017,September,202,0.208099888
Natural & semi-synthetic opioids (T40.2),Maryland,2015,January,400,0.008585165
Natural & semi-synthetic opioids (T40.2),Maryland,2015,February,406,0.008553405
Natural & semi-synthetic opioids (T40.2),Maryland,2015,March,403,0.008543723
Natural & semi-synthetic opioids (T40.2),Maryland,2015,April,405,0.01065462
Natural & semi-synthetic opioids (T40.2),Maryland,2015,May,403,0.010616838
Natural & semi-synthetic opioids (T40.2),Maryland,2015,June,394,0.010570601
Natural & semi-synthetic opioids (T40.2),Maryland,2015,July,393,0.01055164
Natural & semi-synthetic opioids (T40.2),Maryland,2015,August,394,0.010535854
Natural & semi-synthetic opioids (T40.2),Maryland,2015,September,401,0.014741497
Natural & semi-synthetic opioids (T40.2),Maryland,2015,October,418,0.018895654
Natural & semi-synthetic opioids (T40.2),Maryland,2015,November,418,0.021015909
Natural & semi-synthetic opioids (T40.2),Maryland,2015,December,408,0.021203511
Natural & semi-synthetic opioids (T40.2),Maryland,2016,January,394,0.021452322
Natural & semi-synthetic opioids (T40.2),Maryland,2016,February,404,0.021419698
Natural & semi-synthetic opioids (T40.2),Maryland,2016,March,431,0.021418321
Natural & semi-synthetic opioids (T40.2),Maryland,2016,April,472,0.019190584
Natural & semi-synthetic opioids (T40.2),Maryland,2016,May,508,0.023377396
Natural & semi-synthetic opioids (T40.2),Maryland,2016,June,551,0.025466893
Natural & semi-synthetic opioids (T40.2),Maryland,2016,July,573,0.027475431
Natural & semi-synthetic opioids (T40.2),Maryland,2016,August,603,0.027340793
Natural & semi-synthetic opioids (T40.2),Maryland,2016,September,633,0.02506894
Natural & semi-synthetic opioids (T40.2),Maryland,2016,October,632,0.022895202
Natural & semi-synthetic opioids (T40.2),Maryland,2016,November,665,0.018613886
Natural & semi-synthetic opioids (T40.2),Maryland,2016,December,694,0.016437906
Natural & semi-synthetic opioids (T40.2),Maryland,2017,January,713,0.01631521
Natural & semi-synthetic opioids (T40.2),Maryland,2017,February,709,0.018295658
Natural & semi-synthetic opioids (T40.2),Maryland,2017,March,714,0.020204878
Natural & semi-synthetic opioids (T40.2),Maryland,2017,April,704,0.022186366
