"","State.Name","Data.Value"
"1","Connecticut",42829
"2","District of Columbia",9571
"3","Maine",17128
"4","Maryland",90124
"5","Nevada",23621
"6","New Hampshire",25108
"7","New Mexico",19695
"8","New York",97448
"9","New York City",49772
"10","North Carolina",76423
"11","Oklahoma",27183
"12","Oregon",16582
"13","Rhode Island",17217
"14","South Carolina",36868
"15","United States",2152049
"16","Utah",29254
"17","Vermont",5102
"18","Virginia",56334
"19","Washington",35008
"20","West Virginia",45120
