"","Year","Data.Value"
"1",2015,170
"2",2015,168
"3",2015,174
"4",2015,164
"5",2015,166
"6",2015,174
"7",2015,183
"8",2015,177
"9",2015,181
"10",2015,184
"11",2015,188
"12",2015,182
"13",2016,180
"14",2016,184
"15",2016,177
"16",2016,188
"17",2016,186
"18",2016,188
"19",2016,183
"20",2016,192
"21",2016,192
"22",2016,195
"23",2016,201
"24",2016,214
"25",2017,209
"26",2017,205
"27",2017,213
"28",2017,208
"29",2017,223
"30",2017,216
"31",2017,218
"32",2017,211
"33",2017,208
"34",2015,532
"35",2015,530
"36",2015,536
"37",2015,550
"38",2015,553
"39",2015,567
"40",2015,616
"41",2015,618
"42",2015,633
"43",2015,660
"44",2015,683
"45",2015,686
"46",2016,711
"47",2016,731
"48",2016,741
"49",2016,766
"50",2016,795
"51",2016,810
"52",2016,800
"53",2016,825
"54",2016,832
"55",2016,814
"56",2016,834
"57",2016,869
"58",2017,874
"59",2017,878
"60",2017,904
"61",2017,902
"62",2017,925
"63",2017,939
"64",2017,962
"65",2017,962
"66",2017,959
"67",2015,96
"68",2015,97
"69",2015,103
"70",2015,121
"71",2015,123
"72",2015,123
"73",2015,146
"74",2015,152
"75",2015,161
"76",2015,192
"77",2015,217
"78",2015,214
"79",2016,240
"80",2016,258
"81",2016,273
"82",2016,295
"83",2016,331
"84",2016,369
"85",2016,387
"86",2016,421
"87",2016,443
"88",2016,438
"89",2016,461
"90",2016,508
"91",2017,527
"92",2017,545
"93",2017,575
"94",2017,580
"95",2017,600
"96",2017,608
"97",2017,637
"98",2017,642
"99",2017,647
"100",2015,23
"101",2015,23
"102",2015,22
"103",2015,20
"104",2015,18
"105",2015,20
"106",2015,21
"107",2015,20
"108",2015,19
"109",2015,18
"110",2015,16
"111",2015,21
"112",2016,22
"113",2016,22
"114",2016,25
"115",2016,28
"116",2016,33
"117",2016,32
"118",2016,34
"119",2016,38
"120",2016,40
"121",2016,40
"122",2016,43
"123",2016,42
"124",2017,44
"125",2017,44
"126",2017,45
"127",2017,46
"128",2017,44
"129",2017,42
"130",2017,39
"131",2017,38
"132",2017,39
"133",2015,81
"134",2015,80
"135",2015,80
"136",2015,80
"137",2015,83
"138",2015,83
"139",2015,80
"140",2015,82
"141",2015,92
"142",2015,95
"143",2015,102
"144",2015,112
"145",2016,115
"146",2016,113
"147",2016,124
"148",2016,135
"149",2016,155
"150",2016,163
"151",2016,170
"152",2016,181
"153",2016,187
"154",2016,195
"155",2016,221
"156",2016,230
"157",2017,252
"158",2017,270
"159",2017,283
"160",2017,295
"161",2017,295
"162",2017,293
"163",2017,291
"164",2017,288
"165",2017,281
"166",2015,15
"167",2015,17
"168",2015,20
"169",2015,20
"170",2015,23
"171",2015,19
"172",2015,17
"173",2015,17
"174",2015,20
"175",2015,18
"176",2015,24
"177",2015,28
"178",2016,32
"179",2016,31
"180",2016,39
"181",2016,50
"182",2016,66
"183",2016,76
"184",2016,86
"185",2016,96
"186",2016,104
"187",2016,118
"188",2016,140
"189",2016,147
"190",2017,158
"191",2017,175
"192",2017,189
"193",2017,200
"194",2017,202
"195",2017,204
"196",2017,203
"197",2017,207
"198",2017,202
"199",2015,400
"200",2015,406
"201",2015,403
"202",2015,405
"203",2015,403
"204",2015,394
"205",2015,393
"206",2015,394
"207",2015,401
"208",2015,418
"209",2015,418
"210",2015,408
"211",2016,394
"212",2016,404
"213",2016,431
"214",2016,472
"215",2016,508
"216",2016,551
"217",2016,573
"218",2016,603
"219",2016,633
"220",2016,632
"221",2016,665
"222",2016,694
"223",2017,713
"224",2017,709
"225",2017,714
"226",2017,704
"227",2017,693
"228",2017,663
"229",2017,642
"230",2017,612
"231",2017,594
"232",2015,936
"233",2015,964
"234",2015,969
"235",2015,970
"236",2015,975
"237",2015,965
"238",2015,976
"239",2015,996
"240",2015,1033
"241",2015,1071
"242",2015,1096
"243",2015,1130
"244",2016,1112
"245",2016,1150
"246",2016,1201
"247",2016,1286
"248",2016,1389
"249",2016,1491
"250",2016,1561
"251",2016,1640
"252",2016,1694
"253",2016,1733
"254",2016,1795
"255",2016,1866
"256",2017,1954
"257",2017,1967
"258",2017,2002
"259",2017,2036
"260",2017,2038
"261",2017,2036
"262",2017,2017
"263",2017,2008
"264",2017,2024
"265",2015,237
"266",2015,259
"267",2015,263
"268",2015,244
"269",2015,233
"270",2015,227
"271",2015,231
"272",2015,243
"273",2015,268
"274",2015,299
"275",2015,330
"276",2015,373
"277",2016,386
"278",2016,421
"279",2016,449
"280",2016,521
"281",2016,617
"282",2016,706
"283",2016,778
"284",2016,845
"285",2016,913
"286",2016,974
"287",2016,1040
"288",2016,1122
"289",2017,1224
"290",2017,1270
"291",2017,1339
"292",2017,1393
"293",2017,1425
"294",2017,1455
"295",2017,1475
"296",2017,1503
"297",2017,1533
"298",2015,82
"299",2015,88
"300",2015,96
"301",2015,99
"302",2015,95
"303",2015,99
"304",2015,104
"305",2015,95
"306",2015,105
"307",2015,105
"308",2015,105
"309",2015,105
"310",2016,108
"311",2016,104
"312",2016,103
"313",2016,111
"314",2016,116
"315",2016,120
"316",2016,123
"317",2016,128
"318",2016,124
"319",2016,126
"320",2016,124
"321",2016,132
"322",2017,129
"323",2017,128
"324",2017,123
"325",2017,115
"326",2017,108
"327",2017,96
"328",2017,93
"329",2017,90
"330",2017,89
"331",2015,171
"332",2015,181
"333",2015,196
"334",2015,211
"335",2015,208
"336",2015,209
"337",2015,223
"338",2015,219
"339",2015,232
"340",2015,237
"341",2015,241
"342",2015,235
"343",2016,235
"344",2016,232
"345",2016,237
"346",2016,246
"347",2016,257
"348",2016,273
"349",2016,283
"350",2016,291
"351",2016,290
"352",2016,284
"353",2016,288
"354",2016,306
"355",2017,316
"356",2017,315
"357",2017,316
"358",2017,324
"359",2017,319
"360",2017,309
"361",2017,307
"362",2017,311
"363",2017,320
"364",2015,59
"365",2015,63
"366",2015,70
"367",2015,81
"368",2015,83
"369",2015,80
"370",2015,89
"371",2015,96
"372",2015,98
"373",2015,107
"374",2015,113
"375",2015,110
"376",2016,111
"377",2016,115
"378",2016,125
"379",2016,131
"380",2016,139
"381",2016,154
"382",2016,164
"383",2016,168
"384",2016,181
"385",2016,175
"386",2016,185
"387",2016,204
"388",2017,212
"389",2017,211
"390",2017,216
"391",2017,232
"392",2017,233
"393",2017,230
"394",2017,228
"395",2017,235
"396",2017,240
"397",2015,479
"398",2015,466
"399",2015,472
"400",2015,486
"401",2015,493
"402",2015,500
"403",2015,510
"404",2015,512
"405",2015,530
"406",2015,537
"407",2015,548
"408",2015,555
"409",2016,565
"410",2016,564
"411",2016,581
"412",2016,587
"413",2016,590
"414",2016,602
"415",2016,614
"416",2016,614
"417",2016,608
"418",2016,612
"419",2016,599
"420",2016,597
"421",2017,594
"422",2017,595
"423",2017,569
"424",2017,541
"425",2017,525
"426",2017,514
"427",2017,493
"428",2017,491
"429",2017,475
"430",2015,979
"431",2015,986
"432",2015,1002
"433",2015,1020
"434",2015,1038
"435",2015,1061
"436",2015,1059
"437",2015,1046
"438",2015,1074
"439",2015,1090
"440",2015,1131
"441",2015,1159
"442",2016,1199
"443",2016,1212
"444",2016,1252
"445",2016,1278
"446",2016,1310
"447",2016,1361
"448",2016,1398
"449",2016,1444
"450",2016,1456
"451",2016,1468
